epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.275,2.32925,4.85652,1.40896,0.50467,0.65199,0.54453,0.22908,1.45943,22.1275,0.9387,0.00999063,0.00333021,0.00999063,0.00333021,0.00999063,0.00333021,0.00999063,0.00333021
2,257.097,1.98357,2.43308,1.20725,0.6613,0.7177,0.70015,0.31045,1.39229,7.07997,0.88991,0.0197927,0.00659757,0.0197927,0.00659757,0.0197927,0.00659757,0.0197927,0.00659757
3,356.243,1.96847,1.84019,1.21035,0.67883,0.70916,0.706,0.30641,1.43637,13.4984,0.94897,0.0293968,0.00979894,0.0293968,0.00979894,0.0293968,0.00979894,0.0293968,0.00979894
4,456.52,1.95466,1.62881,1.21635,0.66939,0.82323,0.75259,0.33936,1.37144,22.0981,0.92023,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,554.696,1.88632,1.44462,1.19385,0.77337,0.80857,0.85138,0.40369,1.33562,5.53571,0.91195,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,651.449,1.85262,1.31569,1.17709,0.76117,0.88408,0.87164,0.41546,1.3158,15.1346,0.89897,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,747.571,1.83863,1.26221,1.17233,0.8661,0.88595,0.92251,0.45685,1.28364,3.5575,0.88203,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,842.012,1.80659,1.19804,1.15281,0.8888,0.85698,0.91843,0.45521,1.28005,3.62633,0.88187,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,938.73,1.79323,1.1461,1.14896,0.94612,0.92562,0.95273,0.47145,1.29331,3.21026,0.88616,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1036.54,1.77596,1.10636,1.1402,0.87576,0.84491,0.9237,0.4549,1.28779,1.17816,0.87463,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1133.41,1.75809,1.09054,1.13407,0.94987,0.90375,0.95611,0.49454,1.24266,4.60723,0.85839,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1231.98,1.73953,1.04548,1.12567,0.95145,0.93195,0.96526,0.49065,1.26621,1.06663,0.86537,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1329.02,1.73286,1.00967,1.12564,0.93731,0.9327,0.96339,0.49264,1.25356,7.34211,0.85973,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1426.73,1.72489,0.99682,1.12238,0.9409,0.91614,0.96406,0.50915,1.23606,0.85144,0.86139,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1538.57,1.71581,0.97555,1.11764,0.92938,0.89728,0.95589,0.49792,1.2423,0.73671,0.85647,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1634.96,1.71347,0.96391,1.11552,0.96591,0.94807,0.97554,0.51646,1.22821,1.13924,0.84965,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1730.44,1.69304,0.93733,1.1082,0.97135,0.94194,0.97649,0.51899,1.23527,1.48398,0.85186,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1827.46,1.6917,0.93805,1.10752,0.92379,0.92575,0.96039,0.49297,1.25302,8.79046,0.86009,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1926.17,1.68956,0.92507,1.10393,0.96936,0.94878,0.97554,0.52717,1.20603,1.00038,0.84163,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2023.61,1.67246,0.9059,1.09952,0.96796,0.95283,0.97964,0.51662,1.23978,0.76289,0.85004,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2121.05,1.66514,0.88853,1.0931,0.96875,0.95383,0.97194,0.51981,1.21506,1.28865,0.84207,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2217.15,1.67292,0.88175,1.09712,0.96655,0.96175,0.9776,0.52436,1.22244,0.69015,0.84421,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2313.36,1.64997,0.86895,1.09184,0.96723,0.96123,0.97657,0.53261,1.20629,0.56467,0.83797,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2411.88,1.65762,0.86871,1.0938,0.96784,0.967,0.97876,0.54083,1.19363,0.60544,0.83683,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2508.66,1.65495,0.85434,1.08928,0.9713,0.95531,0.97954,0.53047,1.2057,1.38095,0.83359,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2604.01,1.64591,0.84465,1.08608,0.96249,0.95892,0.97731,0.53459,1.19919,0.5498,0.83747,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2702.14,1.6289,0.83688,1.08239,0.97501,0.97265,0.98257,0.54493,1.18198,0.54676,0.83049,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2799.74,1.63234,0.83944,1.08385,0.97883,0.97133,0.98525,0.54711,1.18279,0.63171,0.82821,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2898.28,1.61259,0.82209,1.07678,0.9769,0.96786,0.98265,0.54163,1.18247,0.68147,0.82794,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2995.76,1.61477,0.81706,1.08267,0.97571,0.96064,0.9825,0.54406,1.19335,0.54468,0.83116,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3093.68,1.61012,0.81204,1.07821,0.96979,0.9783,0.98465,0.54866,1.18929,0.62815,0.83116,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3191.38,1.60667,0.80581,1.07466,0.97616,0.97604,0.98394,0.54663,1.18734,0.74286,0.83151,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3288.78,1.59992,0.79791,1.07214,0.97717,0.96972,0.98531,0.5498,1.18202,0.67476,0.82908,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3385.64,1.59553,0.79723,1.0745,0.97746,0.9713,0.98582,0.5597,1.17307,0.50125,0.82657,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3479.6,1.59304,0.78782,1.07135,0.9682,0.97637,0.98253,0.55005,1.17771,0.71306,0.82636,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3575.5,1.58666,0.78857,1.06661,0.97769,0.97035,0.98198,0.55267,1.16638,0.49161,0.82601,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3673.52,1.57995,0.77594,1.06736,0.9758,0.97693,0.98556,0.55911,1.16243,0.53001,0.82112,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3770.97,1.58044,0.77881,1.06484,0.98149,0.97929,0.98672,0.56088,1.16644,0.63134,0.81938,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3869.81,1.57221,0.78028,1.06312,0.96984,0.9787,0.98598,0.56409,1.14632,0.58933,0.8156,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3967.08,1.5722,0.76095,1.06078,0.9747,0.97521,0.98478,0.56547,1.15296,0.63158,0.81576,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4065.28,1.54917,0.75614,1.05572,0.98082,0.98154,0.98874,0.57419,1.14762,0.49744,0.81501,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4162.35,1.55695,0.7628,1.05665,0.97987,0.98251,0.98869,0.56857,1.15125,0.51866,0.81451,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4263.96,1.55085,0.74695,1.05644,0.98168,0.98066,0.98891,0.57621,1.13875,0.4909,0.81285,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
