epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.426,1.84503,1.81628,1.40223,0.68014,0.86463,0.73472,0.34055,1.37252,12.6416,1.01953,0.000266417,0.000266417,0.0669643
2,668.786,1.70841,1.18474,1.33025,0.84551,0.87578,0.92661,0.4445,1.34121,6.33915,0.99359,0.000533026,0.000533026,0.0338976
3,995.251,1.70167,1.05865,1.32283,0.74951,0.94223,0.90888,0.41212,1.36283,22.8195,1.00279,0.000799403,0.000799403,0.000830643
4,1320.24,1.67102,0.94713,1.30145,0.93549,0.91134,0.95172,0.46072,1.31005,1.18227,0.97891,0.000799219,0.000799219,0.000799219
5,1645.5,1.63128,0.87406,1.28189,0.9552,0.9521,0.97146,0.47387,1.32208,1.18945,0.97303,0.000798611,0.000798611,0.000798611
6,1970.69,1.6272,0.83148,1.27859,0.94874,0.95408,0.97505,0.48594,1.29165,3.95155,0.96163,0.000797831,0.000797831,0.000797831
7,2295.86,1.61304,0.79696,1.26746,0.95774,0.95441,0.97679,0.47526,1.31546,1.01364,0.97448,0.000796877,0.000796877,0.000796877
8,2621.03,1.59053,0.7732,1.25877,0.96935,0.96953,0.98082,0.50352,1.25592,0.83556,0.93989,0.000795752,0.000795752,0.000795752
9,2946.08,1.5799,0.73284,1.24938,0.96701,0.96332,0.98039,0.51534,1.22269,2.66606,0.92793,0.000794454,0.000794454,0.000794454
10,3271.35,1.56593,0.71759,1.25075,0.97475,0.96945,0.98022,0.51059,1.24481,0.76301,0.94543,0.000792986,0.000792986,0.000792986
11,3596.23,1.55759,0.70136,1.24282,0.9662,0.98384,0.98319,0.52393,1.21311,0.63735,0.92651,0.000791346,0.000791346,0.000791346
12,3921.19,1.55554,0.68804,1.23761,0.96717,0.97978,0.9862,0.52301,1.21006,0.70832,0.92305,0.000789537,0.000789537,0.000789537
13,4245.77,1.55711,0.68097,1.23729,0.96017,0.96594,0.9794,0.52034,1.2195,0.58125,0.93133,0.000787559,0.000787559,0.000787559
