epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.833,1.92258,2.92246,1.44223,0.68934,0.80735,0.75222,0.34338,1.40253,25.6542,1.02236,0.000332709,0.000332709,0.0670618
2,324.621,1.70997,1.12569,1.32465,0.87001,0.87646,0.91528,0.43296,1.34336,5.43673,1.00235,0.00066597,0.00066597,0.0340617
3,482.296,1.67592,1.00749,1.30189,0.90954,0.89443,0.93156,0.45142,1.32372,9.51909,0.98732,0.000998942,0.000998942,0.00106136
4,639.549,1.66013,0.92861,1.29481,0.91017,0.90741,0.94846,0.47828,1.26904,4.14811,0.95658,0.000999023,0.000999023,0.000999023
5,797.006,1.62583,0.86512,1.27605,0.93231,0.9301,0.95731,0.4646,1.28781,5.62376,0.96789,0.000998264,0.000998264,0.000998264
6,954.283,1.59857,0.82322,1.26058,0.96222,0.95573,0.9748,0.48582,1.27548,1.72964,0.96403,0.000997288,0.000997288,0.000997288
7,1111.05,1.58718,0.77893,1.25898,0.94923,0.96193,0.97673,0.50824,1.25357,2.17464,0.94538,0.000996097,0.000996097,0.000996097
8,1268.22,1.57497,0.75116,1.2528,0.97049,0.96738,0.98339,0.50446,1.27286,0.90351,0.95156,0.00099469,0.00099469,0.00099469
9,1425.61,1.57062,0.74278,1.25224,0.9157,0.93492,0.96415,0.49869,1.24843,19.0451,0.94177,0.000993068,0.000993068,0.000993068
10,1582.47,1.5485,0.70717,1.23882,0.93934,0.89069,0.95109,0.4962,1.24688,0.67297,0.94908,0.000991232,0.000991232,0.000991232
11,1740.51,1.55664,0.70843,1.23768,0.96402,0.97331,0.98022,0.49852,1.28113,2.42061,0.9639,0.000989183,0.000989183,0.000989183
12,1897.37,1.54039,0.69339,1.23548,0.97099,0.97748,0.98441,0.49958,1.26265,1.16347,0.95258,0.000986922,0.000986922,0.000986922
13,2054.17,1.52563,0.68821,1.22511,0.97468,0.96974,0.98325,0.52423,1.2078,1.14935,0.92444,0.000984449,0.000984449,0.000984449
14,2211.56,1.51165,0.66967,1.21885,0.96986,0.96535,0.98316,0.52499,1.20632,2.78296,0.92558,0.000981765,0.000981765,0.000981765
