epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,1.431018,0.510437,1.194660,0.674214,0.674063,0.00004039
2,0.730762,0.831450,0.487644,0.930222,0.930799,0.00006521
3,0.356468,0.966152,0.306870,0.983826,0.983945,0.00010536
4,0.285674,0.988179,0.267078,0.990296,0.990392,0.00015910
5,0.266385,0.994118,0.260282,0.993068,0.993165,0.00022406
6,0.256062,0.997117,0.248824,0.998614,0.998575,0.00029742
7,0.250788,0.998097,0.245823,0.997689,0.997698,0.00037596
8,0.248557,0.998501,0.246079,0.998152,0.998210,0.00045626
9,0.248064,0.998789,0.245161,0.999076,0.999115,0.00053479
10,0.246167,0.999135,0.243711,0.999538,0.999544,0.00060813
11,0.247977,0.998270,0.243725,0.999076,0.999095,0.00067307
12,0.246022,0.998674,0.243969,0.998614,0.998666,0.00072677
13,0.247936,0.998385,0.243902,0.999076,0.999122,0.00076688
14,0.246167,0.998847,0.245588,0.997689,0.997729,0.00079165
15,0.243029,0.999769,0.243412,0.999076,0.999115,0.00080000
16,0.246912,0.998270,0.245155,0.998614,0.998657,0.00079973
17,0.245244,0.999020,0.245350,0.998614,0.998636,0.00079890
18,0.244897,0.999077,0.245984,0.997689,0.997725,0.00079754
