epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,1.461739,0.495041,1.181210,0.665434,0.654064,0.00004040
2,0.569477,0.885596,0.397009,0.952865,0.953430,0.00006521
3,0.299142,0.981778,0.279879,0.987523,0.987600,0.00010537
4,0.263594,0.993484,0.263644,0.992606,0.992692,0.00015911
5,0.254195,0.996367,0.251285,0.996765,0.996798,0.00022409
6,0.251000,0.997463,0.249943,0.998152,0.998182,0.00029745
7,0.253136,0.996598,0.248467,0.998152,0.998182,0.00037600
8,0.248064,0.998443,0.248872,0.998152,0.998188,0.00045630
9,0.252090,0.996540,0.246477,0.999076,0.999093,0.00053483
10,0.252043,0.996886,0.256532,0.994917,0.994987,0.00060817
11,0.252084,0.996771,0.252089,0.997689,0.997780,0.00067311
12,0.251907,0.996713,0.260706,0.993993,0.994123,0.00072680
13,0.254626,0.996194,0.273363,0.988909,0.988835,0.00076691
14,0.252097,0.996656,0.253320,0.996303,0.996472,0.00079167
15,0.247483,0.998443,0.243066,0.999538,0.999544,0.00080000
16,0.246133,0.998731,0.249774,0.997227,0.997257,0.00079972
17,0.247928,0.997924,0.244497,0.999076,0.999082,0.00079890
18,0.251214,0.997117,0.246436,0.998152,0.998171,0.00079754
19,0.248140,0.998097,0.247591,0.998614,0.998591,0.00079563
20,0.246256,0.998674,0.246849,0.998614,0.998626,0.00079318
21,0.245135,0.998962,0.246889,0.998614,0.998592,0.00079019
22,0.246722,0.998501,0.246854,0.999076,0.999088,0.00078667
23,0.249767,0.997463,0.247441,0.998614,0.998574,0.00078263
